a newes,s. nöwis.,
rùndäle,"(gg-et): lärmen, a) poltern (Pl1); as rolet ù rùmplet ù rùndälet an alti Achertrooela (pb Verse45); b) krachen vom Donner (Ss1); chlöpfen ù rùndäle het si [ds Wätter] köert, ù ggschùne het is mengisch o bys i Husgang iha (pb Verse29); SYN: rùmple. ↑stǜǜrme. c) zerspringen, zerplatzen (Pl1 Ss1); SYN: vùrsprätzle. d) pochen (Ss1); SYN: popple.","[auch rondäle (Pl1) ◆ ev. zu schwzdt Rundelle, frz rondelle 'Windlicht der Feuerwehr', aufgrund des Lärms eines Feuerwehreinsatzes ◆ Id 6,1046: Verb nur FR]"
rùnn, s. rùnd.,
Rǜppi,"(n, -eni): Rippe (wh 73, 91, 140). ▲Chnoche.",
rǜtsch·bäänle,"(gg-et): auf einer Rutschbahn rutschen (Fr2 Pl2); ↑ waagle, zyble.",[auch rùtschbäänle (Pl2)]
Rùùch,"(m, kein Pl.): Rauch (wh 185). ↑Tùùm.",
Rüüfta,"(f, -e): rollende Masse, Erdrutsch (Gi1). SYN: Rǜfleta.","[zu schwzdt Rüfi 'Erdrutsch'; aus lat ruina 'das Stürzen' über rät ruvina (Jud 1946,397) ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]"
ruume,"(gg-t): räumen, a) aufräumen (wh 62, 107, 210); nahi het er afa zuune, Stiine ruume ù Tǜrleni mache (pm 81); SYN: rangschiere. ↑vùrsoorge. ZSS: vùr~. b) wegschaffen: d Tiereni müesse hüt no grummti cho (pm 10); c) wegnehmen: si hii mù ds Glaas ggrummt (pb S-8).",
Ruussi,"(n, -eni): a) Gabel u. Stift am Spinnrad, Teil an den die Spule gesteckt wird (wh 62); ▲Gǜǜrbe. b) Spinnrad (pk 1980,11); SYN: Gǜǜrbe.","[wohl nach dem Geräusch; vgl. ält. schwzdt ruussen 'summen wie die Bienen' (Id) ◆ Id 6,1449: nur FR]"
Rygleta, s. Rigleta.,
Rytti·gampfa,"(f, -e): Seilschaukel (Gu SE / sds 5,84: Wü Fr Ta He Ss / wh 131); Ryti, Rytigampfi, das isch ki Chnochestampfi (Aeby 18); ▲Gginggeli.  SYN: Ryttiseili. ↑Balangssa.",[auch Rytigampfi (Aeby)]
Ryybi,"(n, -eni/-ini): ❶ Kartoffel-, Käseraffel (Üb1); SYN: Rabier. ❷ Hanfmühle, mit der der Bast vom Stängel gelöst wird (pk 1980,11); ↑Hächla.","[Id 6,65: 'Küchenraffel' (nur AG)]"
Ryys·gäscher,"(m, -e): Lappen aus Reisstroh zum Reinigen von Pfannen (Ta2). ▲Pùtzzüüg.",
sääge,"(siit, gsiit): ❶ sagen (allg. / wh 43, 112, 212); der Jöngera derva seet zom Att: Atto! sagt zum Vater (Stalder 1819); was dù nit siisch! Ausruf der Ungläubigkeit (Dü2); das wǜḷ der sääge (wh 196); wär hets ggsiit wer hat es gesagt? (wh 133); SYN: rede. ZSS: aa~, ar~. ❷ nennen: ùnenyhi sy jǜngeri Lüt z Huus, Metzgersch siit mù ne (pb Isi36); SYN: namse. • Raa.: i pchöne sa nùme vam Köeresääge (pb S-3) • liid sääge beschimpfen (Üb1 Ta1) • voraan sääge vorsagen, vorbeten: dr Vater het voraan gsiit: a ganza Roesechranz (pb Isi20) • d Poschtoornig sääge zurechtweisen (Dü1 Üb1 Gi1) • i d Oornùng sääge (Ta1) • de Ment/Mänt sääge fluchen (Gu1 Wü1 He1 We1 Ss1 / wh 95) • fǜdlewaarms ga sääge Geheimnis ausplaudern (Re1); ↑chüechle. • hüü sääge antreiben (Üb2); ↑hüüe. • i sääge o sövù gleichfalls (We1). • sägg as sygi a) gib mir Recht; b) sei einverstanden, schlag ein: wier wi nit lang stǜrme, säg as sygi (pm 21) • z sääges nüüt sozusagen, praktisch nichts (pb Isi 14); asch z sääges nüüt chaut (Ta1) • nüüt wele gsiit haa Gesagtes zurücknehmen: wenn i (...) z'völl setti gsit ha, su wotti de nüt gseit ha (FN 11.2.1909).","[Id 7,398; vgl. Stalder: zsääges 'schier, fast' (nur FR)]"
Saarch,"(m, -ää-): Sarg (Fr1; sds 5,23 / wh 130); was er choschtet fùr d Lyych, fùr de Sarch ù de Graabstii (pb Isi76); SYN: Tootebùùm.","[auch Sarch (pb), Saarch, n (wh) ◆ mhd sarch 'Sarg' ◆ Neutrum † ◆ Id 7,1297]"
sächs,(Pron.): sechs (allg. / wh 195); SYN: Sächsi. ↑Zaaḷ.,
Sackerdyys·chiib,"(m, -e): abschätzig für Männer (We2). vgl. Anhang 1.",
Sacktuech,"(n, -tüecher): Sacktuch (allg1; sds 6,134: Ss).",sack·zyment
Sägessemaa,"(m, -mane): Sensenmann, Bild für den Tod: mit dùm gröesere Huuffe giit de Sägessemaa fynner ùm (pb Verse83); ↑Hutätä.",
Sakrischtyy,"(f, -ye): Sakristei (wh 136). SYN: Tǜschchammera.",
Saḷbyne·müüsli,"(n, -eni): Salbei-Mäuschen, als Beilage od. Garnitur.",[Huus-Rezäpt 30]
Samet,"(m, kein Pl.): Samt (wh 124); Sässle mit Samet ùberzogen ù Lüüchter wy in ra Chǜlha (pb Verse28).",
Sändigg, s. Sendigg2.,
Santihans·meie,"(m, -e): gr. Margerite, Korbblütler (wh 97). SYN: Santihanser.",
särwiere, s. serwiere.,
Saubyyna, s. Saḷbyna.,
Schaaf,"(n, unveränd.): Schaf (allg.; sds 8,64 / wh 173, 185); ▲Gficht, ▲Tier. SYN: Bäägseli, Pääggeli, Pääggḷ, Päägsḷ, Wùlesöyli. U-BEGRIFFE: Häla, Lämmli, Ou1, Ouli, Ùùrfḷ, Wider, Zigerehäla. TEILE: Chlaaua, Schaafseckḷ, Wùla, etc. ↑Biigla. ZSS: Mueter~.","[Dim. Schääfli ◆ Id 8,285]"
Schaaf·voräss,"(n, unveränd.): Voressen aus Schaffleisch: [a de Chǜubi gits] as Schaafvoräss, nai a Chabissùppa (Haas: He).",[Huus-Rezäpt 3]
Schaarffa,"(m, kein Pl.): verschärfter Arrest (allg.); är het zwee Taage Schaarffa vùrwǜtscht (Dü1).",
schaffe,"(g-et): ❶ arbeiten, berufl. Tätigkeit ausüben (Gu1 Dü1 Fr1 Re1 allg2 / wh 211); schaf eppis (wh 174); ùf ùm Schindùbock mit dùm Zùggmässer schaffe (Fr1); SYN: wärche. ZSS: wùy~, yy~. ❷ schaffen, erreichen (neu); si hets gschafft (allg.); SYN: ggriise.","[Id 8,321]"
Schalewärch,"(n, unveränd.): Gefängnis, Zuchthaus (allg1); ▲Huus. SYN: Chefi, Gfängnis, Ggaschù, Loch. ↑ Chischta, Chrùtza.","[veraltend ◆ Schalle alemanf Nebenform zu mhd schëlle 'Schelle' (Id 8,564); übertr. auf Fesseln der Zwangsarbeiter; Schalewärch für die Arbeit wie für das Zuchthaus (zB in FR auf der Untern Matte) ◆ SI-Wb; BE-Wb]"
schampaar,"(Part.): sehr, äusserst, Verstärkungsadverb: da hiimer schampaar gäär as Ragglett z Mittaag (Haas: He); SYN: määrterlich.","[zu mhd schand-baere 'schändlich' ◆ Id 8,881]"
schare,"(g-et): ❶ scharren, geräuschvoll kratzen, meist am Boden von Huhn, Hund, Pferd, Mensch, etc. (sds 8,98: Gu); SYN: schaabe. SYN: chraaue. ❷ anmachen, um die Gunst von jmdm. kämpfen: schare fǜrn a Maa (neu / Fr2); ↑aazǜnte.",
Schärr·bock,"(m, -ö-): Skorbut, Zahnfleischblutung (Pl1 Ss1); ↑ Bǜḷdena, Wùùrmhuus.","[prakt. † ◆ ält. hochdt Scharbock 'Skorbut' ◆ Id 4,1132]"
schattig,"(-er, -scht): schattig (allg. / wh 75). ↑fiischter.",
Scheitù, s. Schiitḷ.,
scherwänzle, s. scharwänzle.,
schier,"(Part.): fast, beinahe (wh 69); e mueß schier va Hunger sterbe (Stalder 1819: UL); as ist doch schier a Schan (FZ 22.2.1865); as ischt as schiers Wùnder gsy (ar 90); SYN: zägehägi. • Raa.: no schier gewiss, wahrlich: a settega Toed (...) isch wolepa a Gnaad, no schier, da han is mit dùm Pfaarer ghääbe (pb Isi12); ↑affei. • schier gaar / schier ù ggaar fast, beinahe (wh 30, 104).","[mhd schier 'schnell, sogleich; fast']"
Schiidi,"(n, -eni/-ini): a) gestärkter Hemdkragen (OL1); as alts grùmpfts Froueli isch imù chù suferi Hämli ù Schiideni bringe (vs GuC52); ▲Tracht. SYN: Vattermöörder. ↑Hemmlischraage. b) gestärkter Brustteil des Hemds (Dü1 Ta1); ▲Bchliidig. SYN: Pschyyssi. ↑ Ùnderbrǜschtli, (gsteerkti) Brùscht.","[Wort u. Ding bald † ◆ a) urspr. mit der Schwertscheide verglichen; b) verallgemeinert ◆ Id 8,223: nur FR]"
Schina,"(f, -e): ❶ Schiene (wh 91, 189); ❷ Holzsplitter (wh 103); ↑Schǜpfa.",
Schinter,"(m, unveränd.): ❶ Quäler, Folterknecht (pb S-4); ZSS: Mùùrte~. ❷ Abdecker von Tieren (pb S-4); ↑Mǜǜrder. ❸ Jasser, der einer Stichkarte zurückbehält, um einen besseren Stich abzuwarten (Ta1).","[mhd schinder 'Quäler; Folterknecht; Abdecker' ◆ Id 8, 911]"
Schlaaf·aadera,"(f, -e): Schläfe (sds 4,5: Fr Ta We Ss); ▲Chopf. SYN: Schlääffa, Schlaagaadera. ↑Stǜǜrna.","[zu Schlaaf i.S.v. hochdt Schläfe; also urspr. ""Schläfenader""; vom Teil auf das Ganze übertr.]"
Schlääger,"(m, -e): Gerät zum Schlagen, bes. Sport. ▲Gginggeli.",
schläcke,"(g-et): a) lecken (allg.); SYN: läcke, uuflappe. ↑Läcka. b) Süssigkeiten essen (Wü1 Gi2); ↑schnabùliere.",
Schlängge,"(m, unveränd.): ❶ a) Lederriemen am Rückentraggefäss (sds 7,41: Gu He); SYN: Brütsche. b) Traggriff aus Metall (Dü1); ❷ Türklinke (sds 7,168: Üb); SYN: Schaḷta. ❸ Rahmschicht auf gekochter Milch (Ta1-passiv); SYN: Rumm1. ❹ abschätzig für nachlässige Person (pb S-B); vgl. Anhang 1.","[auch Schlengge (pb) ◆ mhd slenge 'Schleuder'; zu einer Sippe, der auch schlingen, Schlange und schlenkern angehören; häufige Bed.-Überkreuzungen mit schwzdt Schlämpe 'Rahmschicht' (Id 9,561) ◆ Id 9,588; sds: 'Tragriemen' (BE, LU, SO); 'Türklinke' (BE-See)]"
Schleegli,"(n, -eni): ❶ kl. Schlag. ❷ Herzinfarkt (Ta1); ▲Chrankiit. SYN: Häärzynfakt. ↑Häärzschlaag.",[auch Schläägli (Gu UL)]
schleppe,"(g-t): ❶ schleppen, ziehen (neu); SYN: schlǜǜpfe. ❷ schwerfällig, lustlos gehen (He2); SYN: trùntschle.",
Schlitteta,"(f, -e): Fuder, Menge, die auf einen Schlitten passt (wh 125). ↑Blatteta.",[zu Schlitte; zu -eta s. Choorbeta ]
schloorggne,"(g-et): mit Holzschuhen, a) langsam, schwerfällig gehen (Gi2 Ss2); ↑stǜndele. b) schlurfen (Dü Wü1 Gi2 Ss); SYN: tschotschele.","[zu Schloorgge ◆ Id 9,648]"
schlotterig,"(-er, -scht): zitternd, bes. von gebrechl. Menschen. ↑aḷt. / ↑Schlotteri.",
Schlùfibueb,"(m, -e): nachlässiger, unordentlicher Knabe: üüs Schlùfibuebe het mù mit an era Stanga derdǜǜr gholfe (pm 69); vgl. Anhang 1.",
Schlǜǜf·bùùm,"(m, -bǜǜm): unterster, waagrechter Dachbalken, trägt das Vordach (Anderegg 1,268). ▲Tach. ↑ Raafe, Tachhoḷz.","[ev. zu mhd slifbalke 'Querbalken unter Zimmerdecke'; mhd slif 'Abgeschliffenheit'; zu mhd sliufen 'schlüpfen, hindurchgehen' ◆ fehlt in Ma-Wbb]"
Schlǜǜpf·räche,"(m, unveränd.): gr. Schlepprechen mit eisernen Zinken und Handgriff (pb S-4).","[Id 6,111]"
Schlyyf·schue,"(m, unveränd.): Schlittschuh (Dü1 We1); SYN: Zybyse. • Ra.: Schlyyfschue faare Schlittschuh laufen (sds 5,102: Dü Fr); ↑zybysle.","[Id 8,484]"
Schmäär·buuch,"(m, -üü-): dicker Bauch, Wanst: dä het a jùscha Schmäärbuuch ghääbe (Si1).",
schmecke,"(g-t): ❶ trans. wahrnehmen, a) riechen (allg. / wh 90, 164); b) schmecken (neu / He2 Pl2); ❷ intrans. Geruch von sich geben, duften (allg.); U-BEGRIFFE: brüeschele, häärdele, mäggele, nüechtele, ruessele, schmäärbele, schmǜǜrzele, schnäpsle, stiiche, süessele, süürele, wǜḷdele. ❸ wahrnehmen, durch Geschmack erkennen: i has gschmeckt, ass eppis nit ganz stǜmt (Gi1); SYN: arlicke. • Raa.: nit möge schmecke nicht leiden können, hassen: dii [Buebe], wo de Leerer sǜsch nit hii möge schmecke (aj Alergattigs2) • nit chene schmecke nicht ahnen können (Gu1 Re2 Pl2) • de Pfäffer schmecke etwas merken (übertr. / pb S-C).","[wh: ""für FR ist (gegen BE) -e- charakteristisch"" ◆ Id 9, 883]"
Schmola,"(f, -e): Grimasse bei schlechter Laune (He1 Pl2); är het a Schmola gmacht, het si ruuch hinderi keert (pb Isi17); SYN: Potta.",
Schmùtzli,"(m, -eni): Begleiter des St. Nikolaus, meist mit Sack u. Rute (allg.). ↑Santiklous. vgl. Anhang 1.",
Schnaaggli,"(f, -e): ❶ Kriecher, Kriechender (pb S-2); ❷ Buschbohne (übertr. / Gu Dü1 Wü Üb2 ML Gi1 Si1 Pl1 OL2; sds 6,197 / wh 155); ▲Gmües. SYN: Gruppboona, Grupperli, Höckerli, Schnaaggiboona. ↑Pfaffioola.","[auch Schnaaggi (Wü Üb2 Ta1 Gi1 Si1 OL2; sds 6,197: Dü We Pl / pb), Schnaaggerli (He 1 / wh) ◆ lebendig; prakt. nur FR ◆ zu schnaagge ◆ Id 9,1174: Schnaagge 'Kriechender; Buschbohne; kurzer Schlitten']"
Schnäfeli,"(n, -eni/-ini): eig. ein Schnabelvoll, Bissen, kl. Abschnitt (allg1 SE2); si het as Schnäfeli Chees abghoue fǜr z versueche (Wü1); SYN: Schnyfeli. ↑Ggùùffela.","[auch Schnäfili (Gi2 Si1 Ss1), Schnäfù (Pl2 Ss2), Schnäbeli (Si1) ◆ zu schnäfle ◆ Id 9,1150]"
Schnaps·wenteli,"(n, -eni): kl., flache Schnapsflasche (Ta1).",
Schnee·glöggli,"(n, -eni): Schneeglöckchen (allg.). ▲Meie.",
Schnidlùùch,"(m, kein Pl.): Schnittlauch (allg.); i bǜ im Gaarte a Ggùùffela Schnidlùùch ga riiche ù has mit de Gnyppa ghowe (Pl1); ▲Chrüttli.","[auch Schnittlouch (Gu), Schnittlùùch (Wü2)]"
Schnousa, s. Schnousi.,
Schnùder·chiib,"(m, -e): Lausbub (Wü1). vgl. Anhang 1.",[auch Schnùdercheib (Wü1)]
schnüfle, s. schnüpfle.,
Schnutz,"(m, -ü-): ❶ Schnurrbart (sds 4,18); ↑Haar. ❷ ungemäht gebliebener Mahdenrand (pb S-4).","[Id 9,1430]"
Schnuur,"(f, -üü-): Schnur (Üb2 Re2). SYN: Fyssela.",[auch Schnuer (Re2) ◆ neu]
Schnyyder, s. Schnyder.,
schöme, s. scheme.,
Schooreta,"(f, -e): a) Putzen des Stalllägers (pb S-7); b) zusammengescharrter Haufen, Stallmist (pb S-7); ↑Bùrreta.",[zu schoore; zu -eta s. Wǜscheta ]
Schorr·graabe,"(m, -ää-): Kotgraben, Abflussgraben im Viehstall (sds 7,226); bym Mǜschte bǜn i stùùrna choe wyn a Wider, ass ii by mana Haar i Schorgraabe troelet weeri (pb Spät108f). ↑Lääger.","[auch Schürgraabe (wh 34, 110)]"
schreeg ,"-er, -scht): ❶ (attributiv) a) schräg, krumm (He1); SYN: schlǜmm. b) kurios, ungewöhnlich: a schreega Tüpp (neu / Fr2); ↑kurlig. ❷ (adverbial) quer, schräg: as giit schreeg wùy (Si1); ↑zwäärisch. • Ra.: schreeg lùùffe torkeln, schwanken, bes. unter Alkoholeinfluss (Si2); ↑zwaḷble.",
schroote,"(g-et): a) Heu mit dem Schroteisen vom Heustock schneiden (allg1 Gu2 Üb2 We2 Ss2 / wh 150, 209); ▲puure. SYN: strùùpfe. ↑schable. / ↑Höyschroota. b) zuschneiden von Holz, Ziegelsteinen, Strassengraben (übertr. / Fr1 We1 Pl1).",[SI-Wb]
Schrynner,"(m, unveränd./-e): Schreiner (sds 5,29). ▲Pruef.","[auch Schryynner (sds: He We), Schryner (sds: Dü Ss), Schryyner (sds: Gu Wü Üb Fr Ta) ◆ Id 9,1625]"
schǜbḷwyys,"(Part.): büschelweise, a) haufenweise (Wü1); SYN: pùschlewyys. ↑mäḷchterewyys. b) ein Büschel nach dem anderen (Wü1); ↑rùpfwyys.","[Id 13,88]"
Schuel·hùttli,"(n, -eni): Schulsack für Knaben (sds 5,143: Gu). SYN: Mùmiera.",
schuerygle,"(g-et): plagen, schikanieren, zurechtweisen: wan er ne bym Wärhe het wele schuerygle wyn a Schuelbueb (pb Isi54); nùme nit esi la schuerygle (ar 36); ↑ höḷke, sandutte.","[† ◆ mhd schürn 'antreiben' (vgl. hochdt (Feuer) schüren) wurde zu mhd schürgen 'schieben, treiben' weitergebildet mit Verkleinerungsformen schürgeln, schur(i)geln; das eingeschobene i wurde gedehnt und das Wort volksetym. an schuh-riegeln oder -ringeln angelehnt (dwb) ◆ Id 1,153: Ost-CH; vgl. SI-Wb; BS-Wb]"
Schǜffli,"(n, -eni): a) kl. Schiff. b) Weberschiffchen, meist aus Buchsbaumholz (Pl1). ▲Gstüdḷ. ↑wääbe.","[Id 13,358]"
Schùggela,"(f, -e): ❶ Schokolade (allg. / wh 51, 128, 151); ▲Chröömi. ❷ Kakao (Gu2 Pl2); si hii im ana Schnabùtutteli Mǜuch oder Schùggala mitgnoo ù si eper im Dorf z wärme ggää (ms 91); si het a hiissi Schùggala trùùche (Pl2); SYN: Ggaggoo.","[auch Schùggala (ms), Schùggùla (Wü2), Schoggola (Gu2), Dim. Schùggeli ◆ frz chocolat 'Schokolade']"
Schǜm·bock,"(m, -ö-): kastrierter Ziegenbock (sds 8,51: We Pl Ss); ▲Giiss. SYN: Schinnbock. ↑Bock.",[lautl. Variante zu Schinnbock; zur Lautung s. Anhang 3.2 u. 3.13]
Schùpf·raafa,"(f, -e): Sparren zum Heben des untersten Teil des Dachs. ↑Schǜpfitach.","[Fachwort Dachdecker ◆ Id 12,186]"
schùscht, s. schǜsch.,
schǜttle,"(g-et): ❶ schütteln (We1 / wh 74); SYN: schlingge. ↑äärpǜpme. ❷ a) jmdn. an den Haaren ziehen (sds 4,9: Fr); SYN: haare. b) zetten, zB Heu mit Gabel (Dü1). • Raa.: bǜschù gschǜttleta? dumm, töricht (Ta1) • bodenääbe schǜttle abreissen, dem Erdboden gleich machen (Ta1).","[Id 8,1580]"
schüüch,"(-er, -scht): scheu, gehemmt: dermit bǜn i no schüüher choe, weder ass i scho gsy bǜnn (pb Spät146); SYN: tuuch. ZSS: lütte~.",
Schüürer,"(m, unveränd.): Pächter (Gu1 Wü1 ML1 OL1 - meist passiv; sds 5,33: Gu ML OL); ass sii fùr iinen apartig hii chene sy ù de Schüürer esi glych het törfe wiigge (pb Verse24); ▲Puur. SYN: Pächter. ZSS: Kuur~.","[veraltet ◆ ev. zu Schüür ◆ Id 8,1224]"
Schwäbḷ,"(m, kein Pl.): Schwefel (wh 140).","[heute meist Schwäfḷ (wh) ◆ † ◆ Id 9,1725: CH]"
Schwäla,"(f, -e): ❶ Türschwelle (sds 7,170); bys zùr Schwöla, wa niemer drùber chùnt, wo no cha blaase Schwelle zum Tod (pb Isi11); ▲Tǜǜr. ↑Stǜǜrzḷ. ZSS: Tǜǜr~. ❷ Balken, der auf dem Fundament aufliegt u. auf dem die Holzkonstruktion aufgebaut wird (Anderegg 1,259).","[auch Schwela (sds: Gu Üb Ss), Schwöla (pb) ◆ Id 9,1815]"
schwarz,"(schwerzer/-ä-/-ö-, schwerzescht/-ä-/-ö-): schwarz (allg. / wh 76, 90, 99); hinderyha isch is [ds Wätter] emù ganz schwarz choe (pb Isi19); ↑schwarzlocht. / ↑ Faarb, preeme, Schwerzi. ZSS: brann~, choole~. • Ra.: schwarz choo vor den Ùùge ohnmächtig werden (Ss1); ↑kye.",
Schwarz·thee,"(m/n, unveränd.): Schwarztee (allg.).",
schweerfälig,"(-er, -scht): schwerfällig, mühsam: schweerfälig lùùffe: mühsam gehen (Gu Gi1); ↑trùntschle.",
schwente,"(g-et): ❶ ausreuten, zB wilde Tännchen in Alpweiden, Jungwuchspflege (Gu1 SE1 / wh 95); SYN: rütte. ❷ bei gefällten Bäumen Rinde entfernen (Fr1 Pl1); ▲hoḷze. SYN: fääle, schääre. ↑(d Tǜtscheni) pùtze.","[auch schwänte (Gu1 UL1 Fr1 / wh: See) ◆ veraltend ◆ mhd swenden 'schwinden machen, abnehmen lassen'; vgl. hochdt Schwende 'Rodung' ◆ Id 9,1939: -nt- in Alpen]"
Schwick,"(m, -e): nur in • Ra.: är chùnt im Schwick sofort, im Nu, bald (pb S-7); ↑ denù, tuttswytt.","[schwzdt Schwick 'blitzartige Bewegung, kurzer Blick, Augenblick', dessen Herkunft unbekannt ◆ Id 9,1801]"
Schwiizi,"(f, -ene): ❶ gedämpfte Butter od. Fett als Sauce, zB über Bratwurst, Gemüseeintopf, etc. (allg1 Dü2 Ta2 We2); ↑Saassa. ZSS: Zǜbele~. ❷ Schweissung, Verbindung: die va'n Ehrst giltigi Schwihzi [bim Hochzit] het der Pfahrer g'macht (FZ 17.6.1865).","[auch Schweizi (Gu) ◆ älter ◆ zu schwiize ◆ Id 9,2224]"
Schwöla, s. Schwäla.,
Schwùmm,"(m, -ǜ-): ❶ Pilz (wh 101, 166, 181); ▲Ggwächs, ▲Spyys. U-BEGRIFFE: Bole2, Chnolebletter, Eierschwùmm, Flǜǜgepǜḷz, Habicht, Moorchla, Schampyniong, etc. ↑Pǜḷzschnitta. ZSS: Habichte~, Matte~. ❷ Reinigungsschwamm (wh 101, 166, 181); ↑Gäscher.","[Stucki 1917,134]"
Schwyne·bena,"(f, -e): fahrbarer Bretterverschlag für Schweine (We1).",
Schwyne·moora,"(f, -e): Mutterschwein (wh 131). SYN: Fäärli~.",
Schwynigs,"(n, kein. Pl): Schweinefleisch (wh 107). ▲Fliisch.",
Schyba,"(f, -e): ❶ Scheibe, a) Glasscheibe (wh 106, 189); ZSS: Chnöy~, Grampoḷ~, Krach~. b) Scheibe Brot (neu / Üb2); SYN: Schnitta. ❷ schöne Frau (Jugend / Ta2 Si2); vgl. Anhang 1. • Ra.: nit ganz ùf de Schyba dumm (Gi1).",[ev. von Bed.1.a) auf 2 übertr.]
Schyli1,"(n, -eni): senkrechte Holzlatte, a) am Gartenzaun (allg1 / wh 60, 107); ↑Schwǜre. ZSS: Gaarte~. b) Geländer, Rahmen (Dü1 Re1); ↑ Lùùbeläädli, Lùùbelääne. c) aufgespaltenes Rundholz (Wü1); ZSS: Hoḷz~. d) Dachdeckerlatten, ca. 2-3 cm breit, ca. 3-4 cm hoch (Fr1). SYN: Latta.","[auch Schyyli (ms) ◆ mhd schîe, f/m 'Zaunpfahl; Umzäunung mit Pfählen' ◆ Id 8,1]"
Schysshùnn,"(m, -hùne): Schimpfwort für Männer (wh 110). vgl. Anhang 1.",
Schyy,"(m, unveränd.): Ski (allg.); ↑ Fesslituba, Schlitte, Zybyse.",
schyyssig,"(-er, -scht): ❶ an Durchfall leidend, bes. Tiere (Ta1); ❷ missmutig, verstimmt: dia isch no vǜu schyyssigi (Pl2); SYN: wùnderlig.",[derb ◆ SI-Wb: 'an Durchfall leidend'; BE-Wb: 'schlimm']
seeḷgg,"(-ger, -gscht): selig, auch zB an Namen angehängt, wenn man von Verstorbenen spricht (Gi1 / wh 124); vùrzölle vam Tratt ù va de Mueter selig (Aeby 108).","[auch seḷgg (wh), heute meist seelig (Gi1)]"
Seidelbascht, s. Sydḷbascht.,
Selleryy,"(m, kein Pl.): Sellerie (sds 6,185: Ta). ▲Gmües.","[Id 7,737]"
serwiere,"(g-t): a) servieren, bedienen (wh 47, 210); b) aufstellen, zB Zwischenmahlzeit.",[auch särwiere (wh: See)]
sia,"(Pron.): a) sie, betont, fem. Sg., Nom. od. Akk. (allg. / wh 116, 197), sia oe, si het ggrüseli gmacht (wh 121); vgl. Anhang 2. b) sie dort, Demonstrativpron. (wh 116).",[auch si (wh)]
Sigerischt,"(m, -e): Küster (sds 5,42 / wh 48, 125, 156); d Siger(i)schte Buebe des Küsters Knaben, schwacher Gen. (wh 180); ▲Pruef.","[auch Sigerisch (wh), Sigrischt (sds: Dü Pl / wh), Sigerscht (wh) ◆ Id 7,508]"
Siiketa,"(f, -e): a) Uriniertes (derb / Ta2); SYN: Pyschleta. b) anhaltender, ausgiebiger Regen (Ta2); SYN: Gschwader. ZSS: Näbḷ~.","[zu siike; zu -eta s. Dräcketa ◆ Id 7,146: Seichete ]"
singe,"(gsùnge): singen (allg. / wh 208); sing iis sing etwas vor (wh 193); ↑ hǜǜpe, jutze, tüderle.",
siù, s. sii.,
Solaat,"(m, -ää-): Salat (allg.; sds 6,200 / wh 56); grüena Salaat Kopfsalat (Si1); ▲Spyys. U-BEGRIFFE: Chrösche, Endyyvi, Nǜssler, (rooti) Rüebli, Schyggere, Zùckerhuet, etc. ↑Hǜǜtli. ZSS: Frùcht~, Hǜǜtli~, Nǜssler~.","[auch Solaad (sds: Ss), Salaat (sds: Wü Ta), Salaad (sds: Dü Fr Ta He) ◆ -o- Lautung in SE älter ◆ Id 7,689]"
Sooḷ·läder,"(n, unveränd.): Sohlenleder (wh 171).",
Sou·chiib,"(m, -e): Schimpfwort (Dü1). vgl. Anhang 1.",[auch Soucheib (Dü1)]
Sou·moora,"(f, -e): Schimpfwort für Frauen (Üb2 We). vgl. Anhang 1.",
Spaarkassa,"(f, -e): Sparkasse: [wier hii] by dr Sparkassa zwölftuusig [Franke Schùlde] ù by dr Ryfysekassa zähetuusig (pm 88).",
Spalierbùùm,"(m, -ǜǜ): Spalierbaum (sds 6,173).","[Id 10,113]"
spaḷtle,(g-et): Stroh zum Flechten spalten (wh 74). ↑treetle.,
spanyyfle,"(g-et): gespannt spähen, auflauern: däne arme Gschöpfleni [de Müüs] hi aber Katze naigspanyvlet (aj Alergattigs121).","[aus der Gaunerspr./Mattenenglisch ◆ Id 10,307: 'gespannt schauen, lauschen']"
spaziere,(g-t): ❶ spazieren (allg.); SYN: lùùffe. ❷ Ausflug machen: mit dùm Jaargänger ga spaziere Ausflug mit dem Jahrgängerverein machen (Ta1).,
sperig,"(-er, -scht): ❶ starr, steif, a) unbeweglich, ungelenk (UL1 Üb2 Ta1 He2 Gi1 / wh 41, 164); SYN: gamig, gstaabig, spattig, stüüff, vùrspöriget. ANT: biiglig. ↑tschaḷpet. b) lahm, beim Gehen, Arbeiten, etc. (allg1 Wü2 We2 OL2); ùberhùùpt isch er bym Wärhe dinen ù dùsse ging no a wee spörega ù lamaaschega gsyy (pb Isi69); ❷ gegen alles stemmend, widerspenstig (Gi1); SYN: stettig.",[auch spörig (Üb He1 Gi / pb) ◆ älter ◆ mhd sperric 'widerstrebend']
Spiia, s. Spiicha.,
Spinele·ggwǜpp, s. Spinelewùpp.,
Spitaaḷ,"(n/m, -tääler): Spital. SYN: Spittḷ.",
spöifere, s. spǜǜfere.,
Sport·täscha,"(f, -e): Sporttasche (Üb2).",
Spriesse,"(m, unveränd.): gr. Holzssplitter im Finger (neu / Dü2 Üb1 Fr2 Ta2 He2 Ss1); SYN: Schǜpfa.","[Form von BE import., doch -ie- auffällig]"
spröùchere, s. sprǜǜchere.,
